Ontology File;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Relationship Richness;Class Documentation Coverage;Property Documentation Coverage;Class Naming Consistency;Property Naming Consistency;Axiom Richness;Cardinality Restrictions;Properties with Domain;Properties with Range;Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
DABGEO\3-domain-task layer\smart_grid_scenario\smart_grid_dr\energyusageforecast\EnergyUsageForecast.owl;5;3;0;3;0.375;0.6;1.0;1.0;1.0;2.375;0;3;3;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_grid_dr\stakeholdersinfrastructure\StakeholdersInfrastructure.owl;2;1;0;1;0.3333333333333333;0.0;1.0;1.0;1.0;2.3333333333333335;0;1;1;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\actuators\Actuators.owl;2;2;0;2;0.5;0.5;1.0;1.0;1.0;2.25;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\buildingelementactuators\BuildingElementActuators.owl;15;2;0;2;0.11764705882352941;0.7333333333333333;0.5;1.0;1.0;2.588235294117647;0;0;0;0;0;0;5;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\communicationdevices\CommunicationDevices.owl;6;0;0;0;0.0;1.0;0.0;1.0;0.0;2.1666666666666665;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\consumptionsystemsoperation\ConsumptionSystemsOperation.owl;1;1;1;2;0.6666666666666666;0.0;0.5;1.0;1.0;10.666666666666666;5;0;0;0;0;0;7;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\deviceactuators\DeviceActuators.owl;9;0;0;0;0.0;1.0;0.0;1.0;0.0;2.111111111111111;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\devicecommands\DeviceCommands.owl;337;6;8;14;0.039886039886039885;0.9554896142433235;0.8571428571428571;0.9970326409495549;1.0;6.800569800569801;52;8;9;0;1;0;30;4
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\devicefunctionality\DeviceFunctionality.owl;146;2;4;6;0.039473684210526314;0.9931506849315068;1.0;1.0;1.0;2.3223684210526314;2;5;3;2;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\devicemanufacturer\DeviceManufacturer.owl;0;0;8;8;1.0;0.0;0.875;0.0;1.0;3.25;0;8;6;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\domoticnetworkcomponents\DomoticNetworkComponents.owl;34;3;12;15;0.30612244897959184;0.8235294117647058;0.9333333333333333;0.8235294117647058;0.9333333333333333;3.3469387755102042;17;13;8;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\securitysystems\SecuritySystems.owl;7;0;0;0;0.0;0.8571428571428571;0.0;1.0;0.0;2.0;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_home\waterheatingwhitegoods\WaterHeatingWhiteGoods.owl;8;0;0;0;0.0;0.875;0.0;1.0;0.0;2.375;0;0;0;1;0;0;0;0
IEMS\Energy_Framework.owl;30;5;20;25;0.45454545454545453;1.0;0.96;0.4666666666666667;0.2;2.4909090909090907;0;25;25;0;0;0;0;0
IEMS\ontology.owl;5;1;10;11;0.6875;1.0;1.0;0.8;1.0;2.625;0;11;11;0;0;0;0;0
IESO\actor-roles.ttl;32;4;0;4;0.1111111111111111;0.96875;1.0;0.96875;1.0;2.5;2;4;4;0;0;0;1;0
IESO\building.ttl;35;13;0;13;0.2708333333333333;1.0;1.0;1.0;1.0;2.4791666666666665;0;13;12;0;0;0;0;0
IESO\contract.ttl;25;25;1;26;0.5098039215686274;1.0;1.0;1.0;1.0;4.235294117647059;10;15;23;0;0;0;15;1
IESO\demand-response.ttl;17;21;2;23;0.575;0.4117647058823529;1.0;0.4117647058823529;1.0;4.0;17;21;19;0;0;0;5;0
IESO\device.ttl;96;11;3;14;0.12727272727272726;0.9270833333333334;1.0;0.9270833333333334;1.0;3.827272727272727;25;13;8;0;3;0;28;0
IESO\ieso.ttl;0;0;9;9;1.0;0.0;1.0;0.0;1.0;1.1111111111111112;0;0;0;0;0;0;0;0
IESO\measure.ttl;92;110;8;118;0.5619047619047619;1.0;1.0;1.0;0.9745762711864406;4.695238095238095;38;15;11;0;5;0;43;49
IESO\power-transmission-distribution.ttl;99;11;24;35;0.26119402985074625;1.0;1.0;1.0;1.0;4.029850746268656;35;18;29;0;24;0;10;28
IESO\trading.ttl;59;67;33;100;0.6289308176100629;0.9152542372881356;0.99;0.9152542372881356;1.0;5.459119496855346;103;71;90;4;72;12;16;0
OpenEnergyOntology\oeo-closure.owl;1953;167;9;176;0.08266791921089714;0.778289810547875;0.9886363636363636;0.0;0.011363636363636364;6.3579145138562705;4;144;135;44;0;0;1439;25
OpenEnergyOntology\oeo-full.owl;1953;167;9;176;0.08266791921089714;0.778289810547875;0.9886363636363636;0.0;0.011363636363636364;5.498356035697511;4;116;112;44;0;0;1439;25
SEAS\ArchitectureOntology-2.0.ttl;17;5;1;6;0.2608695652173913;0.8823529411764706;0.8333333333333334;1.0;1.0;3.608695652173913;0;5;5;2;1;1;0;5
SEAS\BatteryOntology-1.0.ttl;3;1;1;2;0.4;0.3333333333333333;0.5;1.0;1.0;4.2;0;1;1;0;1;0;0;0
SEAS\BooleanPropertyOntology-1.0.ttl;10;8;1;9;0.47368421052631576;0.8;0.8888888888888888;1.0;1.0;4.947368421052632;0;8;8;0;8;0;0;9
SEAS\BuildingOntology-1.0.ttl;64;0;1;1;0.015384615384615385;0.96875;0.0;1.0;1.0;2.3846153846153846;0;0;0;3;0;0;0;4
SEAS\CityOntology-1.0.ttl;28;0;1;1;0.034482758620689655;0.9285714285714286;0.0;0.9285714285714286;1.0;2.7241379310344827;4;0;0;0;0;0;0;0
SEAS\ComfortOntology-1.0.ttl;10;1;1;2;0.16666666666666666;0.8;0.5;1.0;1.0;3.1666666666666665;0;1;1;0;0;0;0;1
SEAS\CommunicationOntology-1.0.ttl;41;13;1;14;0.2545454545454545;0.9512195121951219;0.9285714285714286;1.0;1.0;4.527272727272727;0;1;1;0;0;0;12;52
SEAS\ComplexOntology-1.0.ttl;3;4;1;5;0.625;0.3333333333333333;0.8;1.0;1.0;3.625;0;4;0;0;4;0;0;0
SEAS\DeviceOntology-1.1.ttl;9;4;1;5;0.35714285714285715;0.7777777777777778;0.8;1.0;1.0;4.928571428571429;0;4;4;0;0;0;12;0
SEAS\ElectricLightSourceOntology-1.0.ttl;33;7;1;8;0.1951219512195122;0.9393939393939394;0.875;1.0;1.0;3.2195121951219514;0;7;7;0;7;0;12;0
SEAS\ElectricPowerSystemOntology-1.0.ttl;67;124;1;125;0.6510416666666666;0.9701492537313433;0.992;1.0;0.76;3.8177083333333335;0;117;121;4;80;0;40;5
SEAS\ElectricVehicleOntology-1.0.ttl;10;2;1;3;0.23076923076923078;0.8;0.6666666666666666;1.0;1.0;3.0;0;0;0;0;2;0;2;0
SEAS\EnergyFormOntology-1.0.ttl;5;0;1;1;0.16666666666666666;0.6;0.0;1.0;1.0;6.333333333333333;0;0;0;0;0;0;0;0
SEAS\EvaluationOntology-1.0.ttl;6;7;3;10;0.625;0.6666666666666666;0.9;1.0;1.0;3.125;0;6;4;2;4;1;0;0
SEAS\FailableSystemOntology-1.0.ttl;2;7;1;8;0.8;0.0;0.875;1.0;1.0;3.5;0;3;3;0;5;0;0;0
